Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_Torque_[MNm],Aero_Thrust_[MN],Aero_CP_[-],Aero_CT_[-],Aero_CQ_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN],RtAeroCp_[-],GenSpeed_[rpm],RtAeroCt_[-],GenTorque_[MNm],RtTSR_[-],TTDspFA_[m],TTDspSS_[m]
17.5,13.7812,12.1,4.1799,4.644,0.12239004348047798,0.19113653090346247,0.02844809067246115,0.03160672099402129,4.557249871278756,5.2967,4.1802,0.349,0.12965266866060954,0.14949943811140384,0.02845013245030314,79.75187274737823,62.9400236458565,5.0,0.4462,0.1331,1173.699,0.1521,0.0431,4.6028,0.1964,-0.0494
17.75,14.1251,12.1,4.1799,4.5593,0.11729112800054746,0.18391659389433845,0.02765237934835541,0.030162322821827518,4.493063253373421,5.2968,4.1802,0.3445,0.12425352935865995,0.14344411726646955,0.0276543640163629,79.75187274737823,62.9400236458565,5.0,0.4417,0.1276,1173.6988,0.1459,0.0431,4.538,0.1943,-0.0495
18.0,14.4685,12.1,4.1799,4.4792,0.11247156023288522,0.17706172784342655,0.026889591877905024,0.028815009913996072,4.430659597076568,5.2968,4.1802,0.3401,0.11914787204830929,0.13770567948673534,0.026891521799090545,79.75187274737823,62.9400236458565,5.0,0.4373,0.1223,1173.6984,0.1401,0.0431,4.4749,0.1924,-0.0495
18.25,14.8068,12.1,4.18,4.3983,0.10791246889931275,0.1705896495230671,0.0261585624317636,0.027524690225747814,4.369965629993327,5.2967,4.1802,0.336,0.11431599480379796,0.13234385185811715,0.026159814037621583,79.75187274737823,62.9400236458565,5.0,0.4331,0.1174,1173.6968,0.1346,0.0431,4.4136,0.1906,-0.0496
18.5,15.1401,12.1,4.18,4.3235,0.10359649209771372,0.16451537331085328,0.02545635120505263,0.026330271395943794,4.310912040398823,5.2967,4.1802,0.3321,0.10974390793879205,0.12729626159490767,0.025457569212287326,79.75187274737823,62.9400236458565,5.0,0.4292,0.1127,1173.6968,0.1295,0.0431,4.3539,0.1889,-0.0496
18.75,15.4686,12.1,4.18,4.2515,0.09950763831420195,0.15873956002073067,0.02478204074646546,0.025205944075023422,4.253433213193506,5.2966,4.1801,0.3284,0.1054104314190004,0.1225436565839397,0.02478263361825366,79.75187274737823,62.9400236458565,5.0,0.4254,0.1082,1173.6962,0.1247,0.0431,4.2959,0.1873,-0.0497
19.0,15.7929,12.1,4.1801,4.1785,0.09563116187172863,0.15331779133599277,0.02413474967151607,0.02412551171082746,4.197466986704117,5.2966,4.1801,0.3248,0.10130400239395956,0.11803180522856234,0.02413474967151607,79.75187274737823,62.9400236458565,5.0,0.4219,0.104,1173.697,0.1201,0.0431,4.2393,0.1859,-0.0497
19.25,16.1131,12.1,4.1801,4.1128,0.09195345114987076,0.1481576993289505,0.02351194368404062,0.02313339919708195,4.142954428435233,5.2965,4.18,0.3215,0.09740629080305808,0.11381768299703128,0.02351138121080591,79.75187274737823,62.9400236458565,5.0,0.4185,0.1,1173.6969,0.1158,0.0431,4.1842,0.1845,-0.0498
19.5,16.4297,12.1,4.1802,4.0483,0.08846192812126795,0.14331363127214133,0.02291348602999431,0.02219048502349791,4.089839628070679,5.2964,4.1799,0.3184,0.09370595122029671,0.10984848386386568,0.02291184160010842,79.75187274737823,62.9400236458565,5.0,0.4154,0.0962,1173.6965,0.1118,0.0431,4.1305,0.1833,-0.0499
19.75,16.7428,12.1,4.1802,3.9831,0.08514495793193631,0.1386994335719656,0.022337069220715492,0.021283857330518127,4.038069506196366,5.2963,4.1799,0.3154,0.09019064813898287,0.1060761429403442,0.02233546615847775,79.75187274737823,62.9400236458565,5.0,0.4124,0.0926,1173.6975,0.1079,0.0431,4.0782,0.1822,-0.0499
20.0,17.0526,12.1,4.1802,3.9258,0.08199176740977333,0.13430251501720872,0.021782132657263344,0.020456508393350663,3.9875936373689114,5.2962,4.1798,0.3126,0.0868489597111283,0.10252250596918057,0.02178004834238298,79.75187274737823,62.9400236458565,5.0,0.4095,0.0892,1173.6969,0.1043,0.0431,4.0272,0.1812,-0.0499
20.25,17.3596,12.1,4.1802,3.8685,0.07899237152158743,0.1301750836871424,0.021247622162244382,0.019663275999866607,3.938364086290283,5.2962,4.1798,0.3099,0.08367187961052627,0.09914293053488678,0.021245588994246466,79.75187274737823,62.9400236458565,5.0,0.4069,0.0859,1173.6972,0.1009,0.0431,3.9774,0.1803,-0.05
20.5,17.6641,12.1,4.1802,3.8109,0.07613750691698457,0.1262390319686371,0.020732547442963323,0.018900929393423506,3.89033525596967,5.2962,4.1797,0.3074,0.08064789282674673,0.09595914546775232,0.020730067591826662,79.75187274737823,62.9400236458565,5.0,0.4044,0.0828,1173.6984,0.0976,0.0431,3.9288,0.1794,-0.05
20.75,17.9662,12.1,4.1801,3.7593,0.07341857179999536,0.12245373462663525,0.02023549341017228,0.01819843792657129,3.8434637468616013,5.2961,4.1797,0.305,0.07776641962199109,0.09292955725584412,0.02023355704564414,79.75187274737823,62.9400236458565,5.0,0.4019,0.0798,1173.698,0.0945,0.0431,3.8815,0.1786,-0.0501
21.0,18.2658,12.1,4.1801,3.7022,0.07082757145860993,0.11878208699037639,0.01975656379006191,0.01749784705235932,3.79770822606563,5.2961,4.1797,0.3024,0.07502198024038881,0.0899566819581513,0.019754673255023027,79.75187274737823,62.9400236458565,5.0,0.3993,0.077,1173.6984,0.0915,0.0431,3.8352,0.1777,-0.0501
21.25,18.5701,12.1,4.18,3.6461,0.06835706886025475,0.1152773609259336,0.019293976359704944,0.01682960937921536,3.7530293057589756,5.2965,4.18,0.2999,0.07241064304366786,0.08712621104255919,0.019293976359704944,79.75187274737823,62.9400236458565,5.0,0.3968,0.0743,1173.6988,0.0887,0.0431,3.79,0.1768,-0.0501
21.5,18.8725,12.1,4.18,3.5964,0.06600013978927005,0.11190257701130947,0.01884788793927369,0.016216398130335864,3.7093894301106154,5.2961,4.1797,0.2974,0.06990866806759062,0.08440229876531431,0.018846535220043602,79.75187274737823,62.9400236458565,5.0,0.3943,0.0718,1173.6984,0.0859,0.0431,3.7459,0.1759,-0.0501
